countryCode,id,keywords
fr-CA,6c8cb602-802d-4fb3-b90d-6aed3f862915,"localisation,anniversaire,compte,amour,calendrier,finances,tâches,souvenirs,distance"
ja,61e7e561-3dbc-49c9-947f-4f0afab667c4,"カップル,遠距離,位置,記念日,カウントダウン,愛,カレンダー,思い出,恋愛,共有,家計,パートナー,タスク,追跡,予算,地図,デート,通知,気分,日記"
pt-BR,fbdaf17f-962e-4023-b0da-27f264c3e687,"casal,relacionamento,localização,aniversário,contagem,amor,calendário,finanças,tarefas,memórias,mapa"
ca,8b96e853-1ea4-4961-96f2-198b41941417,"parella,relació,ubicació,aniversari,compte,amor,calendari,records,company,compartit,seguiment,map"
ko,ca238585-9beb-4ad6-8797-e78f65310c9c,"커플,장거리,위치,기념일,카운트다운,사랑,캘린더,추억,연애,공유,가계부,할일,파트너,추적,예산,지도,데이트,알림,기분,일기"
tr,503673b1-3288-4389-9c07-1f7c37cd621a,"çift,sevgili,konum takibi,ilişki,yıldönümü,gerisayım,aşk,takvim,anı,todo,hatırlatıcı,bütçe,harita"
el,ac29c150-9ed1-4ff3-9276-0583d5af1964,"ζευγάρι,σχέση,τοποθεσία,επέτειος,αγάπη,ημερολόγιο,αναμνήσεις,σύντροφος,οικονομικά,κοινή,χάρτης"
id,3ac2b021-604a-4d51-8df2-6ec4983b9139,"pasangan,lokasi,ulangtahun,hitungmundur,cinta,kalender,tugas,kenangan,keuangan,berbagi,pelacak,peta"
fr-FR,f7ce0e5f-07cd-4b78-8e84-ba597613b423,"couple,relation,localisation,anniversaire,compte,amour,calendrier,finances,tâches,souvenirs,distance"
he,dbc6550d-9b60-418c-9367-e4af05fa3f29,"זוג,יחסים,מיקום,ספירה,אהבה,לוח,כספים,משימות,זיכרונות,שיתוף,מעקב,בןזוג,רומנטי,תזכורת,מפה"
th,ab6e9ac0-ae8f-4791-b92b-bc75b5ef3001,"คู่รัก,ตำแหน่ง,วันครบรอบ,ความรัก,ปฏิทิน,งาน,ความทรงจำ,คู่ครอง,การเงิน,แชร์,ติดตาม,โรแมนติก,แผนที่"
de-DE,ca6bf699-20b5-4f05-a8b9-754f80d6b096,"paar,beziehung,standort,jahrestag,countdown,liebe,kalender,finanzen,aufgaben,erinnerung,partner,map"
uk,d8b2f5e4-b96f-4f26-bb36-c0d5d34142df,"пара,стосунки,річниця,відлік,кохання,календар,фінанси,спогади,партнер,спільні,відстеження,карта"
es-MX,db88982d-8c10-4921-b137-831c83c2f28a,"pareja,relación,ubicación,aniversario,cuenta,amor,calendario,finanzas,tareas,recuerdos,novio,novia"
no,8e0a23af-0f61-45fe-9693-cb5286e17dc1,"par,forhold,posisjon,jubileum,nedtelling,kjærlighet,kalender,økonomi,minner,partner,delt,sporing"
it,c76a67f5-92b4-43e5-8804-c7940c19ad3c,"coppia,relazione,posizione,anniversario,amore,calendario,finanze,compiti,ricordi,partner,distanza"
da,0893aabc-66c5-424c-9c4e-fd4adc0aa8fb,"par,forhold,placering,jubilæum,nedtælling,kærlighed,kalender,økonomi,minder,partner,delt,sporing"
vi,1d379b53-8806-47cb-83ea-0de226b36de4,"cặpđôi,vịtrí,kỷniệm,đếmngược,tìnhyêu,lịch,việc,đốitác,tàichính,chiasẻ,theodõi,lãngmạn,bảnđồ"
en-AU,951043a6-c814-4cfb-87e1-0fb0ee379c50,"couple,ldr,location,relationship,anniversary,countdown,tracker,calendar,partner,memory,todo,mood,map"
nl-NL,389061c0-3c8c-4638-8ca4-239d88e1edb7,"koppel,relatie,locatie,verjaardag,aftellen,liefde,kalender,financiën,taken,herinneringen,partner"
zh-Hant,9651cd62-cff3-485d-870a-a139f1a332a3,"情侶,遠距離,位置,紀念日,倒數,愛情,日曆,回憶,伴侶,共享,帳單,待辦,戀愛,追蹤,預算,約會,地圖,提醒,心情,日記,通知"
pt-PT,49417920-9d0f-4c16-94a6-60a803504a99,"casal,relacionamento,localização,aniversário,contagem,amor,calendário,finanças,tarefas,memórias,mapa"
en-GB,885a5c77-8fab-42df-9736-b9c0d1bdef8d,"couple,ldr,location,relationship,anniversary,countdown,tracker,calendar,partner,memory,todo,mood,map"
ar-SA,92eb7b09-530d-4f25-9d76-ebe736fffb17,"زوجان,علاقة,موقع,ذكرى,حب,تقويم,مهام,ذكريات,شريك,مالية,مشترك,تتبع,ميزانية,خريطة,موعد,مزاج"
hu,a1f00e42-df61-4df3-8577-ab7afd39fc85,"pár,kapcsolat,helyzet,évforduló,szerelem,naptár,pénzügyek,emlékek,partner,megosztott,követés,térkép"
en-CA,f71d12d9-dc9d-4246-892e-8bce810d332d,"couple,ldr,location,relationship,anniversary,countdown,tracker,calendar,partner,memory,todo,mood,map"
es-ES,13242e98-f5e3-4c73-aeb9-9b994906e8fe,"pareja,relación,ubicación,aniversario,cuenta,amor,calendario,finanzas,tareas,recuerdos,novio,novia"
en-US,0442a84d-49a3-4719-bfe3-3cebf6179f11,"couple,ldr,location,relationship,anniversary,countdown,tracker,calendar,partner,memory,todo,mood,map"
sk,0d2dce67-d6c7-4f17-b9ba-bbfc02bc3158,"pár,vzťah,poloha,výročie,odpočet,láska,kalendár,financie,spomienky,partner,zdieľané,sledovanie"
ms,6b06fada-4722-46ec-bb7b-faefe84275a1,"pasangan,lokasi,ulangtahun,kiradetik,cinta,kalendar,tugasan,kenangan,kewangan,kongsi,penjejak,peta"
fi,f77f61e5-38e9-4a34-a532-8f53acd50557,"pari,suhde,sijainti,vuosipäivä,rakkaus,kalenteri,talous,muistot,kumppani,jaettu,seuranta,kartta"
zh-Hans,9e4d5fbf-8775-40c6-bd72-5e4ad26fe8ba,"情侣,异地恋,位置,纪念日,倒计时,爱情,日历,回忆,伴侣,共享,账单,待办,恋爱,追踪,预算,约会,地图,提醒,心情,日记,通知"
ro,cdac0073-0bf3-45ac-8347-0e8c0804760d,"cuplu,relație,locație,aniversare,dragoste,calendar,finanțe,amintiri,partener,partajat,urmărire,hartă"
sv,c30736a8-9a0f-4e16-9b48-d46ce9037f47,"par,relation,plats,årsdag,nedräkning,kärlek,kalender,ekonomi,minnen,partner,delad,spårning,karta"
pl,2eee79c0-c1ac-4731-8fb3-e79f9a96fce9,"para,związek,lokalizacja,rocznica,odliczanie,miłość,kalendarz,finanse,zadania,wspomnienia,partner"
hr,e262488d-9fd9-4caa-af9d-80bc42f1f1e0,"par,veza,lokacija,godišnjica,odbrojavanje,ljubav,kalendar,sjećanja,partner,dijeljeno,praćenje,karta"
cs,102f3ca1-e5d3-452a-a7c9-e9bb7b69bdd6,"pár,vztah,poloha,výročí,odpočet,láska,kalendář,finance,vzpomínky,partner,sdílené,sledování,mapa"
ru,7ce2d6e4-110f-42a1-a2e4-bb27ae10521c,"пара,отношения,годовщина,отсчёт,любовь,календарь,финансы,задачи,воспоминания,локация,партнёр,карта"
hi,7c5af154-9374-4fe6-8107-92d614688854,"जोड़ा,रिश्ता,स्थान,सालगिरह,प्यार,कैलेंडर,यादें,साथी,वित्त,कार्य,साझा,ट्रैकर,रोमांस,नक्शा"
